Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-08-09 17:00:00,3309.3,3321.99,3303,3321.99,425.9,1410183.06,3311.03
2017-08-09 18:00:00,3321.99,3324.12,3313.23,3320.49,366.78,1217819.73,3320.35
2017-08-09 19:00:00,3320.49,3336.6,3313.84,3333.34,457.4,1521510.85,3326.43
2017-08-09 20:00:00,3333.35,3375,3330.21,3361.7,702.69,2358069.47,3355.77
2017-08-09 21:00:00,3361.7,3361.7,3351.08,3353.78,458.31,1538709.75,3357.38
2017-08-09 22:00:00,3353.78,3359.84,3300.01,3300.02,650.84,2167349.27,3330.07
2017-08-09 23:00:00,3300.02,3359.85,3300.02,3342.8,451.4,1505496.17,3335.16
2017-08-10 0:00:00,3342.8,3352.89,3329.28,3334.62,254.73,851767.69,3343.79
2017-08-10 1:00:00,3334.86,3359.86,3334.65,3354.71,312.4,1046831.08,3350.98
2017-08-10 2:00:00,3354.71,3354.81,3331.65,3335.7,314.86,1053122.57,3344.75
2017-08-10 3:00:00,3335.69,3341.42,3317,3330.92,268.12,892454.74,3328.61
2017-08-10 4:00:00,3330.93,3341.03,3324.25,3340.5,166.74,555767.64,3333.21
2017-08-10 5:00:00,3340.51,3371.79,3336.01,3370.01,271.16,909118.79,3352.65
2017-08-10 6:00:00,3370.01,3371.94,3361.29,3362.01,147.2,495487.91,3366.2
2017-08-10 7:00:00,3362.01,3394.78,3361.35,3394.75,280.01,946756.98,3381.19
2017-08-10 8:00:00,3394.75,3397.8,3383.28,3397.8,223.94,759469.42,3391.36
2017-08-10 9:00:00,3397.8,3423,3397.8,3412.49,319.72,1090539.18,3410.96
2017-08-10 10:00:00,3414.95,3415,3389.02,3391.03,310.41,1055021.24,3398.77
2017-08-10 11:00:00,3391.03,3412.67,3391.02,3400.44,198.61,675697.04,3402.11
2017-08-10 12:00:00,3400.43,3400.45,3387,3394.17,376.96,1278187.6,3390.77
2017-08-10 13:00:00,3394.17,3400.59,3393.2,3400.59,285,968524.05,3398.28
2017-08-10 14:00:00,3400.68,3440,3399.5,3440,639.72,2190465.78,3424.12
2017-08-10 15:00:00,3440,3446.99,3430,3444,518.41,1783287.65,3439.91
2017-08-10 16:00:00,3443.99,3445.91,3429.01,3430,454.91,1564377.99,3438.87
2017-08-10 17:00:00,3429.01,3429.99,3411.99,3421.12,720.47,2465759.11,3422.44
2017-08-10 18:00:00,3421.13,3421.74,3402.6,3411.85,485.8,1657127.71,3411.16
2017-08-10 19:00:00,3411.85,3426.4,3402.18,3418.62,598.96,2047716.04,3418.78
2017-08-10 20:00:00,3418.62,3428.3,3401.5,3424.49,640.59,2187033.16,3414.07
2017-08-10 21:00:00,3424.49,3441.1,3424.49,3427.9,616.02,2115963.21,3434.9
2017-08-10 22:00:00,3427.91,3441.1,3408,3441.09,502.12,1718820.93,3423.1
2017-08-10 23:00:00,3441.09,3448,3433.1,3444.98,441.51,1520032.17,3442.8
2017-08-11 0:00:00,3444.98,3448.39,3428.59,3433.22,446.16,1536147.14,3443.04
2017-08-11 1:00:00,3436.75,3439.68,3416.86,3436.96,441.8,1514795.66,3428.72
2017-08-11 2:00:00,3436.96,3448,3436,3447.74,319.75,1100420.41,3441.48
2017-08-11 3:00:00,3447.76,3453.1,3440.01,3450,361.87,1248042.17,3448.85
2017-08-11 4:00:00,3450.97,3455.99,3450,3455.99,272.92,942237.25,3452.49
2017-08-11 5:00:00,3455.98,3490,3455.97,3481.55,494.45,1715582.59,3469.68
2017-08-11 6:00:00,3481.61,3488.87,3467.95,3472.23,342.3,1189967,3476.39
2017-08-11 7:00:00,3472.23,3498,3472.22,3495.35,352.69,1230718.05,3489.49
2017-08-11 8:00:00,3494.95,3498,3481.53,3495.36,286.6,999827.1,3488.58
2017-08-11 9:00:00,3495.36,3499,3493.65,3498.98,293.45,1026572.66,3498.34
2017-08-11 10:00:00,3498.95,3499,3485.42,3488.85,227.46,794236.38,3491.8
2017-08-11 11:00:00,3488.85,3515.9,3487.08,3515.9,370.2,1294737.49,3497.44
